dim,value
MO1,0
MO2,0.099
MO3,0.246
SC1,0
SC2,0.105
SC3,0.208
UA1,0
UA2,0.074
UA3,0.193
PD1,0
PD2,0.092
PD3,0.236
AD1,0
AD2,0.086
AD3,0.205
